Date,Open,High,Low,Close,Volume,Market Cap,Year,Month
2016-01-31,378.29,380.35,367.83,368.77,37894300.0,5729870000.0,2016,1
2016-02-01,369.35,378.07,367.96,373.06,51656700.0,5596090000.0,2016,2
2016-02-02,372.92,375.88,372.92,374.45,40378700.0,5651690000.0,2016,2
2016-02-03,374.65,374.95,368.05,369.95,45933400.0,5679530000.0,2016,2
2016-02-04,370.17,391.61,369.99,389.59,69285500.0,5613380000.0,2016,2
2016-02-05,388.9,391.09,385.57,386.55,43825000.0,5898960000.0,2016,2
2016-02-06,386.59,386.63,372.39,376.52,49249300.0,5865740000.0,2016,2
2016-02-07,376.51,380.87,374.9,376.62,37076300.0,5714760000.0,2016,2
2016-02-08,376.76,379.88,373.33,373.45,47671100.0,5720100000.0,2016,2
2016-02-09,373.42,377.25,372.9,376.03,55318500.0,5670880000.0,2016,2
2016-02-10,376.15,385.48,375.78,381.65,85130900.0,5713880000.0,2016,2
2016-02-11,382.11,383.13,376.4,379.65,74375600.0,5806110000.0,2016,2
2016-02-12,379.69,384.95,379.6,384.26,67042800.0,5771040000.0,2016,2
2016-02-13,384.64,391.86,384.64,391.86,61911700.0,5847990000.0,2016,2
2016-02-14,392.93,407.23,392.93,407.23,74469800.0,5975580000.0,2016,2
2016-02-15,407.57,410.38,397.75,400.19,74070500.0,6199850000.0,2016,2
2016-02-16,401.43,408.94,401.43,407.49,73093100.0,6108040000.0,2016,2
2016-02-17,407.66,421.17,406.78,416.32,83193600.0,6204150000.0,2016,2
2016-02-18,416.57,426.0,415.64,422.37,76752600.0,6341430000.0,2016,2
2016-02-19,422.73,423.1,417.6,420.79,55711300.0,6436980000.0,2016,2
2016-02-20,421.6,441.98,421.6,437.16,93992100.0,6421310000.0,2016,2
2016-02-21,437.77,448.05,429.08,438.8,89820700.0,6669260000.0,2016,2
2016-02-22,438.99,439.05,432.92,437.75,85385200.0,6689200000.0,2016,2
2016-02-23,438.25,439.86,417.82,420.74,85244900.0,6679400000.0,2016,2
2016-02-24,420.96,425.55,413.91,424.95,67743700.0,6417190000.0,2016,2
2016-02-25,425.04,427.72,420.42,424.54,70798000.0,6480650000.0,2016,2
2016-02-26,424.63,432.15,421.62,432.15,61486000.0,6476080000.0,2016,2
2016-02-27,432.84,434.23,428.1,432.52,41893600.0,6602810000.0,2016,2
2016-02-28,432.57,435.68,423.82,433.5,53033400.0,6600310000.0,2016,2
2016-02-29,433.44,441.51,431.69,437.7,60694700.0,6614980000.0,2016,2
2016-03-01,437.92,439.65,432.32,435.12,74895800.0,6684800000.0,2016,3
2016-03-02,435.13,435.92,423.99,423.99,74955300.0,6643810000.0,2016,3
2016-03-03,423.91,425.37,419.41,421.65,100484000.0,6474150000.0,2016,3
2016-03-04,421.84,425.18,410.94,410.94,90856100.0,6443890000.0,2016,3
2016-03-05,410.78,411.26,394.04,400.57,135385000.0,6276610000.0,2016,3
2016-03-06,400.52,411.91,395.78,407.71,91212500.0,6121400000.0,2016,3
2016-03-07,407.76,415.92,406.31,414.32,85762400.0,6233430000.0,2016,3
2016-03-08,414.46,416.24,411.09,413.97,70311700.0,6337370000.0,2016,3
2016-03-09,413.89,416.03,411.61,414.86,70012300.0,6330230000.0,2016,3
2016-03-10,414.74,417.51,413.25,417.13,81022900.0,6344960000.0,2016,3
2016-03-11,417.24,423.93,417.01,421.69,73969700.0,6384740000.0,2016,3
2016-03-12,421.61,421.8,410.09,411.62,92712900.0,6453260000.0,2016,3
2016-03-13,411.65,416.6,411.64,414.06,74322800.0,6302330000.0,2016,3
2016-03-14,414.2,416.68,414.2,416.44,95259400.0,6342780000.0,2016,3
2016-03-15,416.39,418.13,414.99,416.83,66781700.0,6377870000.0,2016,3
2016-03-16,416.89,417.69,415.91,417.01,65185800.0,6387190000.0,2016,3
2016-03-17,417.89,421.0,417.89,420.62,83528600.0,6404130000.0,2016,3
2016-03-18,420.55,420.55,406.14,409.55,104940000.0,6446330000.0,2016,3
2016-03-19,409.26,410.98,407.23,410.44,58423000.0,6274790000.0,2016,3
2016-03-20,410.4,414.63,410.4,413.75,45947900.0,6293610000.0,2016,3
2016-03-21,413.42,413.42,410.38,413.31,61655400.0,6341380000.0,2016,3
2016-03-22,413.13,418.38,412.53,418.09,66813300.0,6338430000.0,2016,3
2016-03-23,418.16,419.27,417.36,418.04,61444200.0,6417130000.0,2016,3
2016-03-24,418.42,418.68,415.49,416.39,68346700.0,6422730000.0,2016,3
2016-03-25,416.51,418.08,415.56,417.18,52560000.0,6394850000.0,2016,3
2016-03-26,417.37,418.99,416.26,417.94,44650400.0,6409500000.0,2016,3
2016-03-27,418.14,428.8,417.71,426.76,71229400.0,6423040000.0,2016,3
2016-03-28,426.55,426.86,423.29,424.23,68522800.0,6553700000.0,2016,3
2016-03-29,424.3,426.2,412.68,416.52,75411500.0,6521010000.0,2016,3
2016-03-30,416.83,416.83,412.5,414.82,66034100.0,6407840000.0,2016,3
2016-03-31,415.26,418.37,415.26,416.73,60215200.0,6385140000.0,2016,3
2016-04-01,416.76,418.17,415.83,417.96,51235700.0,6409540000.0,2016,4
2016-04-02,418.42,422.08,418.42,420.87,45681200.0,6436700000.0,2016,4
2016-04-03,421.17,421.58,419.7,420.9,38053700.0,6480470000.0,2016,4
2016-04-04,421.3,422.34,419.6,421.44,50634300.0,6483910000.0,2016,4
2016-04-05,421.02,424.26,420.61,424.03,60718000.0,6481350000.0,2016,4
2016-04-06,424.28,424.53,422.73,423.41,59091000.0,6533260000.0,2016,4
2016-04-07,423.62,423.66,420.52,422.75,57858600.0,6524680000.0,2016,4
2016-04-08,422.91,425.36,419.63,420.35,63454700.0,6515190000.0,2016,4
2016-04-09,420.81,420.89,416.51,419.41,49792700.0,6484410000.0,2016,4
2016-04-10,419.59,422.44,419.26,421.56,73478600.0,6467330000.0,2016,4
2016-04-11,421.87,422.74,420.53,422.48,50747500.0,6504290000.0,2016,4
2016-04-12,422.84,427.28,422.84,425.19,70728800.0,6520870000.0,2016,4
2016-04-13,425.63,426.66,422.92,423.73,69060400.0,6565470000.0,2016,4
2016-04-14,423.94,425.37,423.01,424.28,45281000.0,6541030000.0,2016,4
2016-04-15,424.43,429.93,424.43,429.71,54801500.0,6550350000.0,2016,4
2016-04-16,429.57,432.63,428.98,430.57,39392800.0,6631310000.0,2016,4
2016-04-17,430.64,431.37,426.08,427.4,52125900.0,6649170000.0,2016,4
2016-04-18,427.61,429.27,427.09,428.59,55670900.0,6604150000.0,2016,4
2016-04-19,428.7,436.02,428.1,435.51,52810500.0,6622450000.0,2016,4
2016-04-20,435.32,443.05,434.41,441.39,72890100.0,6726370000.0,2016,4
2016-04-21,441.42,450.55,440.95,449.43,68204700.0,6822320000.0,2016,4
2016-04-22,449.69,449.81,444.15,445.74,58804400.0,6951860000.0,2016,4
2016-04-23,445.86,450.28,444.33,450.28,50485400.0,6894280000.0,2016,4
2016-04-24,450.56,460.15,448.93,458.56,68198400.0,6968570000.0,2016,4
2016-04-25,459.12,466.62,453.59,461.43,87091800.0,7102490000.0,2016,4
2016-04-26,461.65,467.96,461.62,466.09,78971900.0,7143060000.0,2016,4
2016-04-27,466.26,467.08,444.13,444.69,93564900.0,7216190000.0,2016,4
2016-04-28,445.04,449.55,436.65,449.01,74064700.0,6889170000.0,2016,4
2016-04-29,449.41,455.38,446.02,455.1,49258500.0,6958330000.0,2016,4
2016-04-30,455.18,455.59,447.7,448.32,69322600.0,7049460000.0,2016,4
2016-05-01,448.48,452.48,447.93,451.88,40660100.0,6947430000.0,2016,5
2016-05-02,451.93,452.44,441.78,444.67,92127000.0,7002610000.0,2016,5
2016-05-03,444.73,451.1,442.62,450.3,59366400.0,6892690000.0,2016,5
2016-05-04,450.18,450.38,445.63,446.72,50407300.0,6978950000.0,2016,5
2016-05-05,446.71,448.51,445.88,447.98,50440800.0,6926990000.0,2016,5
2016-05-06,447.94,461.38,447.07,459.6,72796800.0,6947800000.0,2016,5
2016-05-07,459.64,460.68,457.32,458.54,38364500.0,7131120000.0,2016,5
2016-05-08,458.43,459.42,455.98,458.55,40315000.0,7114060000.0,2016,5
2016-05-09,458.21,462.48,456.53,460.48,55493100.0,7112510000.0,2016,5
2016-05-10,460.52,461.93,448.95,450.89,58956100.0,7150370000.0,2016,5
2016-05-11,450.86,454.58,450.86,452.73,50605200.0,7002230000.0,2016,5
2016-05-12,452.45,454.95,449.25,454.77,59849300.0,7028330000.0,2016,5
2016-05-13,454.85,457.06,453.45,455.67,60845000.0,7067270000.0,2016,5
2016-05-14,455.82,456.84,454.79,455.67,37209000.0,7084100000.0,2016,5
2016-05-15,455.76,458.69,455.46,457.57,28514000.0,7084760000.0,2016,5
2016-05-16,457.59,458.2,452.94,454.16,59171500.0,7114740000.0,2016,5
2016-05-17,454.01,455.07,453.61,453.78,64100300.0,7060730000.0,2016,5
2016-05-18,453.69,456.0,453.3,454.62,86850100.0,7057390000.0,2016,5
2016-05-19,454.52,454.63,438.71,438.71,96027400.0,7072090000.0,2016,5
2016-05-20,437.79,444.05,437.39,442.68,81987900.0,6813080000.0,2016,5
2016-05-21,442.97,443.78,441.71,443.19,42762300.0,6895230000.0,2016,5
2016-05-22,443.22,443.43,439.04,439.32,39657600.0,6900700000.0,2016,5
2016-05-23,439.35,444.35,438.82,444.15,50582500.0,6842470000.0,2016,5
2016-05-24,444.29,447.1,443.93,445.98,65783100.0,6921460000.0,2016,5
2016-05-25,446.06,450.3,446.06,449.6,65231000.0,6950690000.0,2016,5
2016-05-26,449.67,453.64,447.9,453.38,65203800.0,7008500000.0,2016,5
2016-05-27,453.52,478.15,453.52,473.46,164781000.0,7070010000.0,2016,5
2016-05-28,473.03,533.47,472.7,530.04,181199000.0,7375780000.0,2016,5
2016-05-29,527.48,553.96,512.18,526.23,148737000.0,8226500000.0,2016,5
2016-05-30,528.47,544.35,522.96,533.86,87958700.0,8243960000.0,2016,5
2016-05-31,534.19,546.62,520.66,531.39,138450000.0,8335100000.0,2016,5
2016-06-01,531.11,543.08,525.64,536.92,86061800.0,8288680000.0,2016,6
2016-06-02,536.51,540.35,533.08,537.97,60378200.0,8375000000.0,2016,6
2016-06-03,537.68,574.64,536.92,569.19,122020000.0,8395070000.0,2016,6
2016-06-04,569.71,590.13,564.24,572.73,94925300.0,8897080000.0,2016,6
2016-06-05,573.31,582.81,569.18,574.98,68874100.0,8955060000.0,2016,6
2016-06-06,574.6,586.47,574.6,585.54,72138900.0,8977700000.0,2016,6
2016-06-07,585.45,590.26,567.51,576.6,107770000.0,9149580000.0,2016,6
2016-06-08,577.17,582.84,573.13,581.64,80265800.0,9022250000.0,2016,6
2016-06-09,582.2,582.2,570.95,574.63,71301000.0,9103080000.0,2016,6
2016-06-10,575.84,579.13,573.33,577.47,66991900.0,9005920000.0,2016,6
2016-06-11,578.67,607.12,578.67,606.73,82357000.0,9052360000.0,2016,6
2016-06-12,609.68,684.84,607.04,672.78,277085000.0,9539850000.0,2016,6
2016-06-13,671.65,716.0,664.49,704.38,243295000.0,10511900000.0,2016,6
2016-06-14,704.5,704.5,662.8,685.56,186694000.0,11028900000.0,2016,6
2016-06-15,685.68,696.3,672.56,694.47,99223800.0,10736600000.0,2016,6
2016-06-16,696.52,773.72,696.52,766.31,271634000.0,10908900000.0,2016,6
2016-06-17,768.49,775.36,716.56,748.91,363321000.0,12038900000.0,2016,6
2016-06-18,748.76,777.99,733.93,756.23,252718000.0,11732600000.0,2016,6
2016-06-19,756.69,766.62,745.63,763.78,136185000.0,11859800000.0,2016,6
2016-06-20,763.93,764.08,732.73,737.23,174511000.0,11976700000.0,2016,6
2016-06-21,735.88,735.88,639.07,666.65,309944000.0,11540000000.0,2016,6
2016-06-22,665.91,678.67,587.48,596.12,266393000.0,10445300000.0,2016,6
2016-06-23,597.44,629.33,558.14,623.98,253462000.0,9373190000.0,2016,6
2016-06-24,625.58,681.73,625.27,665.3,224317000.0,9816730000.0,2016,6
2016-06-25,665.28,691.73,646.56,665.12,126656000.0,10442000000.0,2016,6
2016-06-26,665.93,665.98,616.93,629.37,109225000.0,10454900000.0,2016,6
2016-06-27,629.35,655.27,620.52,655.27,122134000.0,9882840000.0,2016,6
2016-06-28,658.1,659.25,637.77,647.0,138385000.0,10336800000.0,2016,6
2016-06-29,644.12,644.68,628.28,639.89,142456000.0,10119600000.0,2016,6
2016-06-30,640.59,675.4,636.61,673.34,138980000.0,10066400000.0,2016,6
2016-07-01,672.51,686.15,669.59,676.3,134431000.0,10570600000.0,2016,7
2016-07-02,676.73,703.7,676.4,703.7,112354000.0,10639600000.0,2016,7
2016-07-03,704.97,704.97,649.01,658.66,129512000.0,11086100000.0,2016,7
2016-07-04,658.8,683.66,650.51,683.66,92008400.0,10362700000.0,2016,7
2016-07-05,683.21,683.49,665.07,670.63,130476000.0,10749100000.0,2016,7
2016-07-06,670.42,681.9,670.42,677.33,134961000.0,10550300000.0,2016,7
2016-07-07,678.09,682.43,611.83,640.56,258091000.0,10673400000.0,2016,7
2016-07-08,640.69,666.71,636.47,666.52,141970000.0,10086900000.0,2016,7
2016-07-09,666.38,666.38,633.4,650.96,180536000.0,10493800000.0,2016,7
2016-07-10,650.6,652.29,641.26,649.36,102532000.0,10247300000.0,2016,7
2016-07-11,648.48,659.63,644.98,647.66,107910000.0,10215200000.0,2016,7
2016-07-12,648.28,675.26,646.78,664.55,138173000.0,10213100000.0,2016,7
2016-07-13,664.8,668.7,654.47,654.47,131449000.0,10474500000.0,2016,7
2016-07-14,652.92,662.9,652.92,658.08,98511400.0,10288400000.0,2016,7
